Rank,Name,Release Year,IMDb Rating,No. of User ratings,Duration,Director,Stars,Budget (estimated),Worldwide Gross
39,The Lion King,1994,8.5,"965,286","88 min
|
73 min
            (workprint)",Roger Allers,"('Matthew Broderick', 'Jeremy Irons', 'James Earl Jones')","$45,000,000","$1,083,720,877"
40,American History X,1998,8.5,"1,052,369","119 min
|
101 min
            (workprint)",Tony Kaye,"('Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"")","$20,000,000","$23,875,127"
41,City Lights,1931,8.5,"171,827",87 min,Charles Chaplin,"('Charles Chaplin', 'Virginia Cherrill', 'Florence Lee')","$1,500,000","$46,008"
42,Gladiator,2000,8.5,"1,372,675","155 min
|
171 min
            (Extended Edition)",Ridley Scott,"('Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen')","$103,000,000","$465,380,802"
43,Whiplash,2014,8.5,"743,692",106 min,Damien Chazelle,"('Miles Teller', 'J.K. Simmons', 'Melissa Benoist')","$3,300,000","$49,396,747"
44,The Departed,2006,8.5,"1,218,061",151 min,Martin Scorsese,"('Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson')","$90,000,000","$291,465,373"
45,Hotaru no haka,1988,8.5,"244,719",89 min,Isao Takahata,"('Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi')","$3,700,000","$516,962"
46,The Intouchables,2011,8.5,"781,750",112 min,Olivier Nakache,"('François Cluzet', 'Omar Sy', 'Anne Le Ny')","EUR9,500,000","$426,588,510"
47,The Prestige,2006,8.5,"1,221,028",130 min,Christopher Nolan,"('Christian Bale', 'Hugh Jackman', 'Scarlett Johansson')","$40,000,000","$109,676,311"
48,Casablanca,1942,8.4,"532,098","102 min
|
82 min
            (cut)",Michael Curtiz,"('Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid')","$950,000","$4,376,287"
49,Once Upon a Time in the West,1968,8.4,"308,737","165 min
|
177 min
            (extended)
          |
137 min
            (1970)
          |
145 min
            (theatrical)
          |
145 min
            (U.S. theatrical)",Sergio Leone,"('Henry Fonda', 'Charles Bronson', 'Claudia Cardinale')","$5,000,000","$5,434,825"
50,Rear Window,1954,8.4,"453,932",112 min,Alfred Hitchcock,"('James Stewart', 'Grace Kelly', 'Wendell Corey')","$1,000,000","$37,034,514"
51,Nuovo Cinema Paradiso,1988,8.4,"237,889","155 min
|
174 min
            (director's cut)
          |
123 min
            (recut)",Giuseppe Tornatore,"('Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili')","$5,000,000","$13,019,063"
52,Alien,1979,8.4,"806,408","117 min
|
116 min
            (2003 Director's Cut)",Ridley Scott,"('Sigourney Weaver', 'Tom Skerritt', 'John Hurt')","$11,000,000","$106,285,522"
